p_red_cards,rater1,rater2,height,weight,position
0.0,0.25,0.0,182.0,71.0,Defender
0.002976190476190476,0.0,0.25,183.0,73.0,Midfielder
0.0,0.25,0.25,165.0,63.0,Midfielder
0.0038461538461538464,0.0,0.0,178.0,76.0,Midfielder
0.016129032258064516,0.25,0.25,180.0,73.0,Defender
0.0,0.75,0.75,180.0,74.0,Midfielder
0.0,0.75,1.0,189.0,80.0,Goalkeeper
0.0,0.75,1.0,188.0,83.0,Goalkeeper
0.01652892561983471,1.0,1.0,180.0,68.0,Midfielder
0.02,0.75,1.0,179.0,70.0,Defender
0.0,1.0,1.0,180.0,78.0,Midfielder
0.008130081300813009,0.5,0.25,185.0,78.0,Midfielder
0.009615384615384616,0.75,0.75,188.0,75.0,Midfielder
0.0,0.25,0.25,184.0,79.0,Midfielder
0.0,0.0,0.0,188.0,90.0,Goalkeeper
0.0,0.0,0.0,188.0,76.0,Midfielder
0.0,0.0,0.0,175.0,62.0,Midfielder
0.012195121951219513,0.0,0.0,190.0,76.0,Defender
0.007633587786259542,0.0,0.0,173.0,73.0,Defender
0.0,0.25,0.25,193.0,87.0,Attacker
0.022727272727272728,0.0,0.0,190.0,88.0,Goalkeeper
0.0,0.25,0.25,180.0,78.0,Midfielder
0.01048951048951049,0.0,0.25,190.0,88.0,Defender
0.0,0.25,0.25,171.0,69.0,Attacker
0.006622516556291391,0.25,0.25,180.0,74.0,Attacker
0.0,0.25,0.0,183.0,73.0,Attacker
0.0,0.25,0.25,188.0,82.0,Goalkeeper
0.00804289544235925,0.25,0.25,172.0,67.0,Midfielder
0.0,0.0,0.0,188.0,71.0,Midfielder
0.012422360248447204,0.25,0.25,182.0,78.0,Attacker
0.0,0.0,0.0,187.0,77.0,Attacker
0.0,0.5,0.5,179.0,69.0,Midfielder
0.007692307692307693,1.0,1.0,176.0,66.0,Midfielder
0.00425531914893617,0.5,0.5,180.0,74.0,Midfielder
0.0106951871657754,0.25,0.25,181.0,77.0,Midfielder
0.017543859649122806,0.0,0.25,186.0,82.0,Defender
0.005714285714285714,0.25,0.0,170.0,68.0,Midfielder
0.005076142131979695,0.25,0.25,175.0,73.0,Attacker
0.0,0.25,0.25,175.0,68.0,Midfielder
0.010526315789473684,0.0,0.25,187.0,80.0,Defender
0.0,0.25,0.25,174.0,66.0,Midfielder
0.0,0.75,1.0,180.0,72.0,Attacker
0.0,0.25,0.0,185.0,77.0,Attacker
0.0,1.0,1.0,182.0,74.0,Midfielder
0.014705882352941176,0.0,0.0,180.0,68.0,Midfielder
0.005390835579514825,0.5,0.5,188.0,92.0,Defender
0.0,0.25,0.25,174.0,75.0,Defender
0.0,0.0,0.25,183.0,85.0,Attacker
0.0,0.0,0.0,183.0,72.0,Midfielder
0.009230769230769232,0.0,0.0,193.0,92.0,Defender
0.003105590062111801,0.0,0.25,188.0,83.0,Goalkeeper
0.0,0.0,0.0,196.0,84.0,Midfielder
0.0,0.0,0.0,173.0,72.0,Midfielder
0.0,0.0,0.25,189.0,83.0,Goalkeeper
0.0,1.0,1.0,180.0,68.0,Midfielder
0.008733624454148471,0.5,0.75,176.0,70.0,Attacker
0.006535947712418301,0.75,0.75,174.0,73.0,Attacker
0.01568627450980392,0.0,0.0,183.0,80.0,Defender
0.005361930294906166,0.5,0.25,170.0,73.0,Attacker
0.0,0.25,0.25,175.0,73.0,Midfielder
0.009259259259259259,1.0,1.0,174.0,68.0,Midfielder
0.017241379310344827,0.25,0.25,169.0,68.0,Midfielder
0.004761904761904762,1.0,1.0,190.0,79.0,Midfielder
0.0,0.5,0.5,190.0,88.0,Goalkeeper
0.017543859649122806,0.25,0.25,183.0,76.0,Defender
0.01557632398753894,0.0,0.25,186.0,87.0,Attacker
0.0,0.25,0.25,178.0,80.0,Midfielder
0.0,0.25,0.5,180.0,69.0,Attacker
0.0,0.0,0.25,182.0,71.0,Attacker
0.0,0.25,0.25,182.0,80.0,Attacker
0.014084507042253521,1.0,1.0,181.0,75.0,Defender
0.007936507936507936,0.25,0.5,192.0,86.0,Defender
0.0,0.25,0.25,168.0,67.0,Midfielder
0.0,0.5,0.75,186.0,81.0,Defender
0.014598540145985401,0.0,0.0,192.0,85.0,Defender
0.0049261083743842365,0.25,0.25,181.0,75.0,Midfielder
0.017391304347826087,0.0,0.0,182.0,73.0,Midfielder
0.0,0.25,0.25,193.0,80.0,Goalkeeper
0.0,0.5,0.5,188.0,81.0,Defender
0.0,0.75,0.75,176.0,69.0,Midfielder
0.004032258064516129,0.75,0.75,176.0,72.0,Midfielder
0.014705882352941176,0.25,0.25,180.0,74.0,Midfielder
0.0078125,0.0,0.0,187.0,79.0,Midfielder
0.011111111111111112,0.75,0.75,184.0,76.0,Defender
0.0,0.0,0.25,186.0,84.0,Attacker
0.005050505050505051,0.5,0.5,180.0,74.0,Defender
0.0,0.25,0.25,178.0,72.0,Midfielder
0.003816793893129771,0.0,0.0,184.0,74.0,Attacker
0.01020408163265306,0.25,0.25,189.0,86.0,Goalkeeper
0.0,0.0,0.0,180.0,70.0,Defender
0.002173913043478261,0.25,0.25,184.0,82.0,Midfielder
0.003401360544217687,0.25,0.25,172.0,69.0,Midfielder
0.0033783783783783786,0.0,0.0,185.0,77.0,Midfielder
0.0,0.0,0.0,179.0,72.0,Attacker
0.0,0.25,0.0,169.0,67.0,Midfielder
0.0,0.25,0.25,187.0,83.0,Defender
0.00558659217877095,0.0,0.0,172.0,69.0,Attacker
0.0,0.0,0.0,188.0,84.0,Attacker
0.0021645021645021645,0.0,0.0,174.0,81.0,Attacker
0.006329113924050633,0.25,0.25,183.0,76.0,Midfielder
0.0,0.0,0.0,170.0,70.0,Attacker
0.005141388174807198,0.25,0.25,180.0,71.0,Defender
0.007653061224489796,0.25,0.25,180.0,70.0,Attacker
0.0,0.5,0.5,172.0,68.0,Attacker
0.0,0.25,0.25,192.0,84.0,Defender
0.00558659217877095,1.0,1.0,175.0,64.0,Midfielder
0.009584664536741214,0.25,0.25,184.0,73.0,Attacker
0.0,0.25,0.25,184.0,81.0,Goalkeeper
0.0,0.0,0.0,174.0,65.0,Midfielder
0.0017761989342806395,0.25,0.25,180.0,77.0,Defender
0.0,0.25,0.25,176.0,68.0,Attacker
0.013888888888888888,0.0,0.0,184.0,78.0,Defender
0.0,0.5,0.25,178.0,78.0,Defender
0.0,0.0,0.25,180.0,74.0,Midfielder
0.00872093023255814,0.25,0.25,176.0,74.0,Defender
0.02654867256637168,1.0,1.0,190.0,85.0,Defender
0.0,0.0,0.0,177.0,74.0,Defender
0.00872093023255814,0.75,0.75,175.0,70.0,Attacker
0.005813953488372093,0.0,0.25,173.0,72.0,Midfielder
0.005025125628140704,0.25,0.25,184.0,82.0,Attacker
0.010810810810810811,0.0,0.0,184.0,80.0,Goalkeeper
0.0,0.25,0.25,184.0,79.0,Defender
0.007792207792207792,0.0,0.0,177.0,76.0,Attacker
0.008333333333333333,0.75,1.0,190.0,96.0,Attacker
0.0,0.25,0.25,189.0,76.0,Attacker
0.003838771593090211,0.25,0.25,180.0,80.0,Attacker
0.0,0.5,0.75,185.0,82.0,Defender
0.0,0.75,0.75,172.0,67.0,Midfielder
0.0,1.0,1.0,181.0,81.0,Attacker
0.013513513513513514,0.25,0.25,185.0,77.0,Defender
0.0,0.0,0.0,186.0,81.0,Goalkeeper
0.005128205128205128,1.0,1.0,166.0,67.0,Defender
0.0,0.0,0.0,183.0,81.0,Attacker
0.0,0.0,0.25,193.0,88.0,Goalkeeper
0.005847953216374269,0.25,0.0,185.0,81.0,Attacker
0.0,0.0,0.25,189.0,85.0,Goalkeeper
0.012461059190031152,0.5,0.5,181.0,74.0,Attacker
0.004531722054380665,0.5,0.5,170.0,67.0,Defender
0.004761904761904762,0.75,0.75,180.0,65.0,Midfielder
